Name;price m;category;ingredients
BBQ Chicken Hawaii;€ 6,99;Chicken;BBQ saus, mozzarella, kip, annanas, extra mozzarella
Pollo Pommodore;€ 7,99;Chicken;Tomatensaus, mozzarella, verse spinazie, geroosterde kip, rode ui, basilicum en zongedroogde tomaatjes
Chicken Supreme;€ 6,99;Chicken;Tomatensaus, mozzarella, gegrilde kip, rode ui, paprika, verse tomaat en oregano
Chicken Kebab;€ 7,99;Chicken;Tomatensaus, mozzarella, rode ui, chicken-kebab en knoflooksaus
Bacon Gorgonzola;€ 7,99;Famous Artisan;Tomatensaus, Mozzarelle, verse spinazie, rode ui, bacon, champignons, zongedroogde tomaatjes, oregano en gorgonzola
Tricolore;€ 7,99;Famous Artisan;Crème Fraiche, mozzarella, geitenkaas, verse spinazie, rode ui, groene olijven, champignons, basilicum en zongedroogde tomaten
Four Cheese;€ 7,99;Top taste;Tomatensaus, edammer, mozzarella, red cheddar & gorgonzola
BBQ Mixed Grill;€ 7,99;Top taste;BBQ saus, mozzarella, rode ui, paprika, gehakt, bacon, ham en gegrilde kip
Creamy Bacon;€ 7,99;Top taste;Crème fraîche, mozzarella, bacon, ham, champignons, rode ui en oregano
Extravaganza;€ 7,99;Top taste;Tomatensaus, mozzarella, rode ui, paprika, pepperoni, ham, gehakt, champignons, olijven en extra mozzarella
Shoarma;€ 7,99;Top taste;Tomatensaus, mozzarella, shoarma en een zakje knoflooksaus
Supreme;€ 7,99;Top taste;BBQ saus, mozzarella, kebab, chorizo, gehakt, ham en bacon
Vier Seizoenen;€ 6,99;Favourite;Tomatensaus, mozzarella, 1/4 pepperoni, 25% ham, 25% champignons en 25% paprika
Americana;€ 6,99;Favourite;Tomatensaus, mozzarella, pepperoni, ham en gehakt
Beenham;€ 6,99;Favourite;Tomatensaus, mozzarella, beenham en honig mosterdsaus
Deluxe;€ 6,99;Favourite;Tomatensaus, mozzarella, rode ui, paprika, pepperoni, baconstrips, champignons en gehakt
Hawaii;€ 6,99;Favourite;Tomatensaus, mozzarella, ham, ananas en extra kaas
Hot en Spicy;€ 6,99;Favourite;Tomatensaus, mozzarella, rode ui, paprika, pepperoni en spaanse pepers
Salame Speciale;€ 6,99;Favourite;Tomatensaus, mozzarella, salami, paprika & oregano
Tonno;€ 6,99;Favourite;Tomatensaus, mozzarella, tonijn & rode ui
Veggi;€ 6,99;Favourite;Tomatensaus, mozzarella, verse spinazie, rode ui, paprika, champignons, olijven & verse tomaat
Caprese;€ 5,99;Traditional;Tomatensaus, mozzarella, verse tomaat en basillicum
Funghi;€ 5,99;Traditional;Tomatensaus, mozzarella, champignons en oregano
Margaritha;€ 5,99;Traditional;Tomatensaus, dubbel mozzarella en oregano
Perfect Pepperoni;€ 5,99;Traditional;Tomatensaus, mozzarella en pepperoni
